run_id	Lift curve.Positive rate	Lift curve
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.31875	51
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.325	52
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.325	52
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.33125	53
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3375	54
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3375	54
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3375	54
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3375	54
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3375	54
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3375	54
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.34375	55
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.35	56
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.35	56
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.35	56
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.35	56
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.35	56
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.35625	57
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.35625	57
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.35625	57
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3625	58
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.36875	59
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.36875	59
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.36875	59
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.36875	59
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.36875	59
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.36875	59
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.375	60
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
